Date,Adj Close,Close,High,Low,Open,Volume
8/10/2020,262.21051,263,273.859985,259.690002,268.040009,30248800
8/11/2020,255.361145,256.130005,265.920013,255.130005,260.190002,28238300
8/12/2020,259.109863,259.890015,263.899994,258.109985,258.970001,21415700
8/13/2020,260.515594,261.299988,265.160004,259.570007,261.549988,17374000
8/14/2020,260.45578,261.23999,262.649994,258.679993,262.309998,14792700
8/17/2020,260.376038,261.160004,264.100006,259.399994,262.5,13351100
8/18/2020,261.552521,262.339996,265.149994,259.26001,260.950012,18690400
8/19/2020,261.801727,262.589996,267.910004,261.350006,261.390015,23291500
8/20/2020,268.202484,269.01001,269.630005,261.459991,261.5,20299700
8/21/2020,266.208496,267.01001,270.48999,266.420013,268.690002,15538600
8/24/2020,270.575317,271.390015,277.25,268.769989,271.070007,23685600
8/25/2020,279.97702,280.820007,283.089996,270.26001,272.410004,42127200
8/26/2020,302.997711,303.910004,304.670013,284,284,69015200
8/27/2020,292.339783,293.220001,301.230011,292.019989,300.160004,30301300
8/28/2020,292.778503,293.660004,297.230011,290.980011,295,17157400
8/31/2020,292.319885,293.200012,296.880005,291.549988,293.950012,17345100
9/1/2020,294.553131,295.440002,301.48999,292.709991,294.709991,17295900
9/2/2020,301.591949,302.5,303.600006,293.049988,298.880005,24341400
9/3/2020,290.246094,291.119995,297.600006,283.630005,295.98999,32294100
9/4/2020,281.881317,282.730011,289,271.140015,287.25,30333700
9/8/2020,270.346039,271.160004,279.299988,269.420013,271.279999,24864000
9/9/2020,272.898346,273.720001,278.480011,271.350006,275.769989,22918800
9/10/2020,267.285217,268.089996,279.160004,267.029999,275.51001,24814700
9/11/2020,265.809662,266.609985,271.390015,262.640015,270.059998,18913900
9/14/2020,265.351044,266.149994,276.640015,265.700012,270.950012,24093800
9/15/2020,271.602264,272.420013,274.519989,269.299988,270.670013,18478500
9/16/2020,262.728943,263.519989,272.440002,261.790009,267.290009,29183400
9/17/2020,254.055084,254.820007,261.5,250.190002,258.279999,31281400
9/18/2020,251.771942,252.529999,259.200012,250.050003,258.399994,28130800
9/21/2020,247.40509,248.149994,249.949997,244.130005,247.539993,24709400
9/22/2020,253.985291,254.75,255.320007,248.220001,253.309998,30293100
9/23/2020,248.272476,249.020004,257.98999,248.149994,255.259995,19641300
9/24/2020,248.780945,249.529999,252.240005,245.619995,246.5,20006800
9/25/2020,254.055084,254.820007,255.75,246.610001,249.399994,18351300
9/28/2020,256.049103,256.820007,259.600006,254.820007,259.399994,18826300
9/29/2020,261.00415,261.790009,263.329987,256.899994,257.809998,20200200
9/30/2020,261.1138,261.899994,266.079987,260.100006,261.980011,20142500
10/1/2020,265.82962,266.630005,268.329987,264.799988,265.350006,20009800
10/2/2020,259.159698,259.940002,265.149994,259.179993,261.209991,16367600
10/5/2020,263.855591,264.649994,264.869995,260.839996,262.200012,12822300
10/6/2020,257.883545,258.660004,265.690002,258.23999,261.779999,18696900
